2025-03-25 15:42:19 - Proceso iniciado, ejecutándose cada 60 segundos
2025-03-25 17:22:53,336 - INFO - Proceso finalizado.
2025-03-25 17:25:04,148 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:25:09,123 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 17:25:10,393 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 17:25:14,931 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 17:25:15,142 - INFO - Proceso finalizado.
2025-03-26 08:55:24,703 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 08:55:30,440 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 08:55:31,791 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 08:55:38,049 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 08:55:38,246 - INFO - Proceso finalizado.
2025-03-26 08:55:52,401 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 08:55:57,659 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 08:55:59,027 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 08:56:03,607 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 08:56:03,858 - INFO - Proceso finalizado.
2025-03-26 10:24:56,442 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 10:25:02,554 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 10:25:04,159 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 10:25:09,093 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 10:25:09,300 - INFO - Proceso finalizado.
2025-03-26 10:28:51,438 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 10:28:55,450 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 10:28:56,788 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 10:29:01,488 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 10:29:01,691 - INFO - Proceso finalizado.
2025-03-26 10:37:42,684 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 10:37:47,884 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 10:37:49,234 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 10:37:54,661 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 10:37:54,866 - INFO - Proceso finalizado.
2025-03-26 12:14:37,834 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:16:14,925 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:16:15,157 - INFO - No se encontraron errores en la base de datos para: Errores en la base de datos SAP
2025-03-26 12:16:16,417 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:16:20,408 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 12:16:20,618 - INFO - Proceso finalizado.
2025-03-26 12:17:16,153 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:18:41,506 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:20:43,575 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:22:46,454 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:22:49,460 - ERROR - Error enviando el correo: {'': (555, b'5.5.2 Syntax error, cannot decode response. For more information, go to\n5.5.2  https://support.google.com/a/answer/3221692 and review RFC 5321\n5.5.2 specifications. 46e09a7af769-72c0abac389sm2429592a34.4 - gsmtp')}
2025-03-26 12:22:50,781 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:22:53,227 - ERROR - Error enviando el correo: {'': (555, b'5.5.2 Syntax error, cannot decode response. For more information, go to\n5.5.2  https://support.google.com/a/answer/3221692 and review RFC 5321\n5.5.2 specifications. 5614622812f47-3febf70b4d3sm2453864b6e.21 - gsmtp')}
2025-03-26 12:22:53,443 - INFO - Proceso finalizado.
2025-03-26 12:24:16,093 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:24:44,771 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:25:11,320 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:26:01,182 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:26:44,908 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:26:49,653 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 12:26:50,913 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:26:54,825 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 12:26:55,028 - INFO - Proceso finalizado.
2025-03-26 12:29:01,695 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:29:08,013 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 12:29:09,244 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:29:14,033 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 12:29:14,235 - INFO - Proceso finalizado.
2025-03-26 12:31:20,354 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:31:24,911 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 12:31:26,199 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 12:31:29,786 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 12:31:29,996 - INFO - Proceso finalizado.
2025-03-26 12:41:14,709 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 12:41:18,924 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
